,ID,Date,Likes,Content
210,1514373350562611202,2022-04-13 22:41:57+00:00,22826,"#KGFChapter1🔥🔥🔥

#KGFChapter2 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

That’s the tweet"
341,1335974901623128065,2020-12-07 15:50:12+00:00,22675,"The villain stays on !!!!! @TheNameIsYash
For all the fans of #KGFCHAPTER2 https://t.co/4j5BQEkQo2"
62,1519692792938655746,2022-04-28 14:59:31+00:00,22629,Ajay Devgn caught in Hindi-national language debate. #AjayDevgn #KichchaSudeep #HindiLanguage #KGFChapter2 https://t.co/mZ9XlNkO3t
159,1514833291249020935,2022-04-15 05:09:35+00:00,22371,"Never seen before craze for a film in the recent times!! The box office is on fire 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

#KGFChapter2 #KGF2 

World is #RockyBhai Territory!!! https://t.co/NtFBLiv1rt"
42,1524262226936303616,2022-05-11 05:36:48+00:00,22201,"#Mehabooba Main Teri Mehabooba ♥️

▶️ https://t.co/oSCSG13wre

#KGFChapter2 @Thenameisyash @prashanth_neel
@VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @RaviBasrur
@bhuvangowda84 @LahariMusic @Mrtmusicoff https://t.co/jhSEbHAJhC"
103,1515942713098600448,2022-04-18 06:38:02+00:00,21969,"R#KGF2 CREATES HISTORY AGAIN... FASTEST TO ENTER ₹ 200 CR CLUB...
⭐ #KGFChapter2: Will cross ₹ 200 cr today [Mon, Day 5]
⭐ #Baahubali2: Day 6
#KGF2 is REWRITING RECORD BOOKS... Thu 53.95 cr, Fri 46.79 cr, Sat 42.90 cr, Sun 50.35 cr. Total: ₹ 193.99 cr. #India biz. #Hindi. https://t.co/ysKnW2zIuV"
13,1564672484741263360,2022-08-30 17:52:45+00:00,21880,"Dodamma Ganesha.  @TheNameIsYash
  #KGFChapter2  #Yash54  #Yash19  #KGF3 https://t.co/v3sSoNgyVU"
298,1468095889478590464,2021-12-07 05:51:50+00:00,21868,"#Adheera is back ⚔
Thank you @duttsanjay sir.
See you all on April 14th 2022 on the big screens💥 #KGFChapter2 https://t.co/0labcZ5kL3"
309,1420602502903341056,2021-07-29 04:30:04+00:00,21813,"""War is meant for progress, even the vultures will agree with me"" - #Adheera, Happy Birthday @duttsanjay sir.

#KGFChapter2 @TheNameIsYash @VKiragandur @hombalefilms @TandonRaveena @SrinidhiShetty7 @excelmovies @VaaraahiCC @PrithvirajProd @DreamWarriorpic @LahariMusic https://t.co/VqsuMXe6rT"
328,1355010279931711488,2021-01-29 04:30:00+00:00,21540,"That promise will be fulfilled.
#KGFChapter2 release date announcement today at 6:32pm.

@TheNameIsYash @prashanth_neel @VKiragandur
@hombalefilms @duttsanjay @TandonRaveena
@SrinidhiShetty7 @prakashraaj @BasrurRavi @bhuvangowda84 @excelmovies @VaaraahiCC @PrithvirajProd https://t.co/TCKD5UXq54"
160,1514832096787050499,2022-04-15 05:04:50+00:00,21306,"#Kerala Box Office - Day 1: 

1. #KGFChapter2 - ₹ 7.1 Crs 

2. #Beast - ₹ 6.6 Crs"
241,1511625386127331328,2022-04-06 08:42:31+00:00,21122,"Experience #KGFChapter2 in @IMAX from April 14th worldwide.

#KGF2onApr14

@prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @bhuvangowda84 @RaviBasrur @VaaraahiCC @excelmovies @AAFilmsIndia @PrithvirajProd @DreamWarriorpic https://t.co/Y6ncMUaW9o"
280,1505780274981863430,2022-03-21 05:36:08+00:00,21025,"Here comes #Toofan 🌪️

Kannada: https://t.co/hwLeUampWF
Telugu: https://t.co/BIjG1e5Xs2
Tamil: https://t.co/jpoe5oyH0B
Malayalam: https://t.co/yDxjcFZD8B

#KGFChapter2 @Thenameisyash @prashanth_neel
@VKiragandur @hombalefilms @HombaleGroup
@RaviBasrur @bhuvangowda84 @LahariMusic https://t.co/DA8IHqbYsQ"
283,1501132545148080135,2022-03-08 09:47:43+00:00,20959,"Happy women's day, you all are powerful!
#KGFChapter2 @TandonRaveena @SrinidhiShetty7 @MalavikaBJP #EswariRao @jois_archie @RoopaRayappa 
#HappyWomensDay https://t.co/hDj9bemKKP"
125,1515275775980711937,2022-04-16 10:27:52+00:00,20867,"Thankyou for all the love♥️♥️🙏🏻 #gratitude 

#KGFChapter2 

@Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @excelmovies @AAFilmsIndia @VaaraahiCC @DreamWarriorpic @PrithvirajProd 

#KGF2BoxOfficeMonster https://t.co/if7XnFSjgh"
147,1514891977778958342,2022-04-15 09:02:47+00:00,20731,#KGFChapter2 Thanks everyone🙏🏻🙏🏻 https://t.co/3f0ri00XnB
286,1499263301242343425,2022-03-03 06:00:00+00:00,20625,"There is always a thunder before the storm ⚡
#KGFChapter2 Trailer on March 27th at 6:40 pm.

Stay Tuned: https://t.co/QxtFZcv8dy

@Thenameisyash @prashanth_neel
@VKiragandur @hombalefilms @HombaleGroup @duttsanjay @TandonRaveena @SrinidhiShetty7
 
#KGF2TrailerOnMar27 https://t.co/4TBuGaaUKh"
226,1513841904399822853,2022-04-12 11:30:10+00:00,20594,"Which movie are you Eagerly waiting to watch 😍💥

Retweet ~ #Beast 
Heart ~ #KGFChapter2 
#Beast #KGFChapter2 #ThalapathyVijay #Yash #RockyBhai #VeeraRaghavan #Nelson #Anirudh #BeastFDFS #KGF2FDFS #TamilCinema #IGPoll #Indiaglitz https://t.co/YKJrCKel19"
339,1340546858435760129,2020-12-20 06:37:31+00:00,20449,"Nothing short of a crazy, exhausting and fulfilling shoot🎥 The best team hands down!!!!
@duttsanjay sir a true warrior in real life ⚔ @TheNameIsYash a treat to work with as always🔥
An end to the climax shoot👏Cant wait for the world to see #KGFChapter2 only on the big screen🙏 https://t.co/7EZSAnWehY"
269,1507969954368602113,2022-03-27 06:37:08+00:00,20427,"We are delighted to announce @Suriya_offl will release our #KGFChapter2 Tamil trailer.
 
#KGFChapter2TrailerDay

#KGFChapter2Trailer at 6:40 PM today on  https://t.co/QxtFZcNhrG (South) &amp; https://t.co/4hTQlu1E2D (Hindi) YT Channels

@hombalefilms @DreamWarriorpic @prabhu_sr https://t.co/8hegamuyer"
282,1504713965296885762,2022-03-18 06:59:00+00:00,20274,"Get Ready! #Toofan is coming 🔥

'Toofan' Lyrical Video will be out on March 21st at 11:07 AM.

#KGFChapter2 #KGF2onApr14

@Thenameisyash @prashanth_neel @VKiragandur
@hombalefilms @HombaleGroup @duttsanjay @TandonRaveena @SrinidhiShetty7 @bhuvangowda84 @RaviBasrur @LahariMusic https://t.co/nBwy8mNiTt"
77,1517473289676881920,2022-04-22 12:00:00+00:00,20236,"உங்கள் அன்புக்கும் ஆதரவிற்கும் நன்றி!

#KGFChapter2 @TheNameIsYash @prashanth_neel @VKiragandur @duttsanjay @TandonRaveena @SrinidhiShetty7 @hombalefilms @prabhu_sr @DreamWarriorpic

#KGF2BoxOfficeMonster https://t.co/ZZ139HutRY"
186,1514517939935866880,2022-04-14 08:16:29+00:00,20060,"Due to EXCELLENT WoM, many theatres are shifting #KGFChapter2 to their main BIG screen by replacing #Beast.

Additional shows are also getting added for #Yash starrer."
370,1208368064682582016,2019-12-21 12:46:11+00:00,20021,"Here it is... First look poster of #KGFChapter2... Stars #Yash, #SanjayDutt and #SrinidhiShetty. #KGFChapter2FirstLook https://t.co/R6GK0dbiDq"
365,1226757116376956929,2020-02-10 06:37:43+00:00,19618,"Welcome on board Rao Ramesh sir.
We will leave it to the audience to keep guessing on this one, till they see you on the big screen.
Thank you for being apart of #KGFChapter2 https://t.co/fWteQ5YnHm"
